,node_no,node_x,node_y,node_z
0,1,0.0,0.0,0.0
1,2,5.0,0.0,0.0
2,3,5.0,2.0,0.0
3,4,0.0,2.0,0.0
4,5,0.4999999999999988,0.0,0.0
5,6,0.9999999999999977,0.0,0.0
6,7,1.499999999999998,0.0,0.0
7,8,1.999999999999998,0.0,0.0
8,9,2.499999999999999,0.0,0.0
9,10,2.999999999999999,0.0,0.0
10,11,3.5,0.0,0.0
11,12,4.0,0.0,0.0
12,13,4.5,0.0,0.0
13,14,5.0,0.5000000000000013,0.0
14,15,5.0,1.000000000000001,0.0
15,16,5.0,1.5,0.0
16,17,4.500000000000001,2.0,0.0
17,18,4.000000000000003,2.0,0.0
18,19,3.500000000000002,2.0,0.0
19,20,3.000000000000002,2.0,0.0
20,21,2.500000000000001,2.0,0.0
21,22,2.000000000000001,2.0,0.0
22,23,1.5,2.0,0.0
23,24,1.0,2.0,0.0
24,25,0.5,2.0,0.0
25,26,0.0,1.499999999999999,0.0
26,27,0.0,0.9999999999999991,0.0
27,28,0.0,0.4999999999999996,0.0
28,29,1.249999999999998,0.4330127018922189,0.0
29,30,3.694843539709155,0.4226175011124291,0.0
30,31,2.250000000000001,1.566987298107781,0.0
31,32,3.250000000000002,1.56698729810778,0.0
32,33,2.749999999999999,0.4330127018922193,0.0
33,34,1.24805626154998,1.549769692095735,0.0
34,35,4.573433153873584,1.270601937522286,0.0
35,36,0.3953531183916654,1.281619653166405,0.0
36,37,3.745913491193614,1.569346645067195,0.0
37,38,3.476636378192952,1.147463589555106,0.0
38,39,2.99610606303216,1.157408320231019,0.0
39,40,3.241874321670227,0.7071825150522099,0.0
40,41,4.030930304035739,1.123074737897087,0.0
41,42,0.7521186846404371,0.4233860225279155,0.0
42,43,0.997282156394609,0.8114914710077723,0.0
43,44,1.4578803593991,0.8082402716192769,0.0
44,45,1.772358580597649,1.577213465952082,0.0
45,46,2.0231597432481,1.148880181020442,0.0
46,47,2.503210967713378,1.161550039477819,0.0
47,48,2.25,0.700961894323342,0.0
48,49,4.23499358596483,0.383679001794405,0.0
49,50,2.749941924383125,1.571324812332076,0.0
50,51,1.795969305337597,0.4336521442400622,0.0
51,52,4.49619023429853,0.7688990191470646,0.0
52,53,0.7203587362195956,1.61090747192633,0.0
53,54,4.247375257553084,1.599499652783688,0.0
54,55,0.4473916533611351,0.7862515652799107,0.0
55,56,1.230406326594218,1.116426306819296,0.0
56,57,4.014172488394469,0.6955613534704366,0.0
57,58,2.748238270483153,0.8320230941953218,0.0
58,59,2.249999999999998,0.3058993511390133,0.0
59,60,3.249999999999999,0.305899351139013,0.0
60,61,4.633974596215563,1.633974596215562,0.0
61,62,0.3660254037844388,1.633974596215561,0.0
62,63,4.633974596215563,0.3660254037844386,0.0
63,64,0.3660254037844384,0.3660254037844384,0.0
64,65,0.8127176335914885,1.200080890080281,0.0
65,66,1.852503957278976,0.8142022299896465,0.0
66,67,1.616349805067591,1.190392482400217,0.0
67,68,3.691691406400508,0.8191799394174538,0.0
